"","x"
"1",0.011005432
"2",0.0161281334824219
"3",9.14909132649999
"4",4.6161318129375
"5",0.961885847
"6",-0.497308579625
"7",-4.036902144875
"8",0.008913686
"9",0.3907470703125
"10",0.661376953125
"11",8.03e-06
"12",0.7258605961875
"13",0.905029296875
